Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
200991898,E01,20042131,Alarms,04/08/2020,04/08/2020,04/08/2020 03:20:51 PM,04/08/2020 03:21:44 PM,04/08/2020 03:22:28 PM,04/08/2020 03:23:54 PM,04/08/2020 03:32:30 PM,,,Fire,04/08/2020 03:32:49 PM,700 Block of HOWARD ST,San Francisco,94103,B03,01,2214,3,3,3,true,Alarm,1,ENGINE,1,3,6,South of Market,"(37.784105856310795, -122.40153948458573)",200991898-E01
200991898,B03,20042131,Alarms,04/08/2020,04/08/2020,04/08/2020 03:20:51 PM,04/08/2020 03:21:44 PM,04/08/2020 03:22:28 PM,04/08/2020 03:24:00 PM,,,,Fire,04/08/2020 03:25:56 PM,700 Block of HOWARD ST,San Francisco,94103,B03,01,2214,3,3,3,false,Alarm,1,CHIEF,2,3,6,South of Market,"(37.784105856310795, -122.40153948458573)",200991898-B03
200991897,QRV2,20042130,Medical Incident,04/08/2020,04/08/2020,04/08/2020 03:21:13 PM,04/08/2020 03:21:13 PM,04/08/2020 03:21:56 PM,04/08/2020 03:22:01 PM,04/08/2020 03:27:09 PM,,,Code 2 Transport,04/08/2020 03:55:34 PM,1000 Block of POLK ST,San Francisco,94109,B04,03,3121,B,3,3,true,Potentially Life-Threatening,1,SUPPORT,1,4,6,Tenderloin,"(37.786117211837905, -122.4198542456919)",200991897-QRV2
200991897,63,20042130,Medical Incident,04/08/2020,04/08/2020,04/08/2020 03:21:13 PM,04/08/2020 03:21:13 PM,04/08/2020 03:21:56 PM,04/08/2020 03:22:22 PM,,,,Code 2 Transport,04/08/2020 03:23:24 PM,1000 Block of POLK ST,San Francisco,94109,B04,03,3121,B,3,3,true,Potentially Life-Threatening,1,MEDIC,3,4,6,Tenderloin,"(37.786117211837905, -122.4198542456919)",200991897-63
200991897,50,20042130,Medical Incident,04/08/2020,04/08/2020,04/08/2020 03:21:13 PM,04/08/2020 03:21:13 PM,04/08/2020 03:22:40 PM,04/08/2020 03:22:40 PM,04/08/2020 03:48:22 PM,04/08/2020 03:50:04 PM,04/08/2020 04:01:46 PM,Code 2 Transport,04/08/2020 04:38:29 PM,1000 Block of POLK ST,San Francisco,94109,B04,03,3121,B,3,3,true,Potentially Life-Threatening,1,MEDIC,2,4,6,Tenderloin,"(37.786117211837905, -122.4198542456919)",200991897-50
200991887,65,20042129,Medical Incident,04/08/2020,04/08/2020,04/08/2020 03:15:36 PM,04/08/2020 03:18:53 PM,04/08/2020 03:19:18 PM,04/08/2020 03:19:35 PM,04/08/2020 03:27:38 PM,04/08/2020 03:44:42 PM,04/08/2020 03:58:13 PM,Code 2 Transport,04/08/2020 04:31:59 PM,300 Block of TURK ST,San Francisco,94102,B02,03,1554,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,6,Tenderloin,"(37.78274397076997, -122.4148848127809)",200991887-65
200991876,83,20042128,Medical Incident,04/08/2020,04/08/2020,04/08/2020 03:11:55 PM,04/08/2020 03:15:24 PM,04/08/2020 03:16:11 PM,04/08/2020 03:16:16 PM,04/08/2020 03:26:45 PM,,,Patient Declined Transport,04/08/2020 03:29:15 PM,YORK ST/18TH ST,San Francisco,94110,B02,29,5243,2,2,2,true,Non Life-threatening,1,MEDIC,1,2,10,Mission,"(37.76181731616774, -122.40915675620954)",200991876-83
200991872,KM02,20042127,Medical Incident,04/08/2020,04/08/2020,04/08/2020 03:10:34 PM,04/08/2020 03:13:56 PM,04/08/2020 03:14:11 PM,04/08/2020 03:14:28 PM,04/08/2020 03:23:31 PM,04/08/2020 03:58:59 PM,04/08/2020 04:23:34 PM,Code 2 Transport,04/08/2020 05:11:23 PM,0 Block of SPOFFORD ST,San Francisco,94108,B01,13,1313,2,3,3,false,Non Life-threatening,1,PRIVATE,1,1,3,Chinatown,"(37.79456754207132, -122.40745780854365)",200991872-KM02
200991872,E13,20042127,Medical Incident,04/08/2020,04/08/2020,04/08/2020 03:10:34 PM,04/08/2020 03:13:56 PM,04/08/2020 03:21:27 PM,04/08/2020 03:21:37 PM,04/08/2020 03:25:28 PM,,,Code 2 Transport,04/08/2020 03:26:35 PM,0 Block of SPOFFORD ST,San Francisco,94108,B01,13,1313,2,3,3,true,Non Life-threatening,1,ENGINE,2,1,3,Chinatown,"(37.79456754207132, -122.40745780854365)",200991872-E13
200991868,E18,20042126,Medical Incident,04/08/2020,04/08/2020,04/08/2020 03:11:27 PM,04/08/2020 03:12:49 PM,04/08/2020 03:13:00 PM,04/08/2020 03:13:54 PM,04/08/2020 03:17:55 PM,,,Code 2 Transport,04/08/2020 04:31:40 PM,2900 Block of WAWONA ST,San Francisco,94116,B08,18,7616,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,8,4,Sunset/Parkside,"(37.736386079870655, -122.4983298748065)",200991868-E18
200991868,91,20042126,Medical Incident,04/08/2020,04/08/2020,04/08/2020 03:11:27 PM,04/08/2020 03:12:49 PM,04/08/2020 03:13:00 PM,04/08/2020 03:13:08 PM,04/08/2020 03:18:29 PM,04/08/2020 03:38:11 PM,04/08/2020 03:52:42 PM,Code 2 Transport,04/08/2020 04:31:24 PM,2900 Block of WAWONA ST,San Francisco,94116,B08,18,7616,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,8,4,Sunset/Parkside,"(37.736386079870655, -122.4983298748065)",200991868-91
200991862,E06,20042125,Medical Incident,04/08/2020,04/08/2020,04/08/2020 03:09:41 PM,04/08/2020 03:10:26 PM,04/08/2020 03:10:36 PM,04/08/2020 03:11:16 PM,04/08/2020 03:12:42 PM,,,Patient Declined Transport,04/08/2020 03:18:44 PM,2000 Block of MARKET ST,San Francisco,94114,B02,06,5213,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,2,8,Castro/Upper Market,"(37.769247063207025, -122.42695563170949)",200991862-E06
200991862,53,20042125,Medical Incident,04/08/2020,04/08/2020,04/08/2020 03:09:41 PM,04/08/2020 03:10:26 PM,04/08/2020 03:10:36 PM,04/08/2020 03:10:51 PM,,,,Patient Declined Transport,04/08/2020 03:19:09 PM,2000 Block of MARKET ST,San Francisco,94114,B02,06,5213,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,2,8,Castro/Upper Market,"(37.769247063207025, -122.42695563170949)",200991862-53
200991830,E44,20042124,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:58:20 PM,04/08/2020 03:00:54 PM,04/08/2020 03:01:18 PM,04/08/2020 03:02:31 PM,04/08/2020 03:05:26 PM,,,Code 2 Transport,04/08/2020 03:13:01 PM,200 Block of OLMSTEAD ST,San Francisco,94134,B10,44,6325,3,3,3,true,Non Life-threatening,1,ENGINE,1,10,9,Portola,"(37.722140516338605, -122.40404813701676)",200991830-E44
200991830,AM108,20042124,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:58:20 PM,04/08/2020 03:00:54 PM,04/08/2020 03:01:18 PM,04/08/2020 03:02:02 PM,04/08/2020 03:08:33 PM,04/08/2020 03:25:56 PM,04/08/2020 03:37:13 PM,Code 2 Transport,04/08/2020 04:17:24 PM,200 Block of OLMSTEAD ST,San Francisco,94134,B10,44,6325,3,3,3,false,Non Life-threatening,1,PRIVATE,2,10,9,Portola,"(37.722140516338605, -122.40404813701676)",200991830-AM108
200991811,KM01,20042122,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:56:15 PM,04/08/2020 02:56:15 PM,04/08/2020 02:56:39 PM,,,,,Cancelled,04/08/2020 02:58:04 PM,EDDY ST/LARKIN ST,San Francisco,94109,B02,03,1643,A,2,2,false,Non Life-threatening,1,PRIVATE,1,2,6,Tenderloin,"(37.78331088881323, -122.41752877439144)",200991811-KM01
200991811,50,20042122,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:56:15 PM,04/08/2020 02:56:15 PM,04/08/2020 02:57:27 PM,04/08/2020 02:57:37 PM,,,,Cancelled,04/08/2020 03:01:40 PM,EDDY ST/LARKIN ST,San Francisco,94109,B02,03,1643,A,2,2,true,Non Life-threatening,1,MEDIC,2,2,6,Tenderloin,"(37.78331088881323, -122.41752877439144)",200991811-50
200991806,T11,20042121,Alarms,04/08/2020,04/08/2020,04/08/2020 02:53:20 PM,04/08/2020 02:54:48 PM,04/08/2020 02:54:55 PM,04/08/2020 02:56:14 PM,04/08/2020 02:58:28 PM,,,Fire,04/08/2020 03:20:06 PM,200 Block of SAN JOSE AVE,San Francisco,94110,B06,11,5524,3,3,3,false,Alarm,1,TRUCK,2,6,8,Mission,"(37.75125254363661, -122.4214474027606)",200991806-T11
200991806,E11,20042121,Alarms,04/08/2020,04/08/2020,04/08/2020 02:53:20 PM,04/08/2020 02:54:48 PM,04/08/2020 02:54:55 PM,04/08/2020 02:55:42 PM,04/08/2020 02:57:35 PM,,,Fire,04/08/2020 03:04:41 PM,200 Block of SAN JOSE AVE,San Francisco,94110,B06,11,5524,3,3,3,true,Alarm,1,ENGINE,1,6,8,Mission,"(37.75125254363661, -122.4214474027606)",200991806-E11
200991806,B06,20042121,Alarms,04/08/2020,04/08/2020,04/08/2020 02:53:20 PM,04/08/2020 02:54:48 PM,04/08/2020 02:54:55 PM,04/08/2020 02:56:12 PM,04/08/2020 02:58:54 PM,,,Fire,04/08/2020 03:02:08 PM,200 Block of SAN JOSE AVE,San Francisco,94110,B06,11,5524,3,3,3,false,Alarm,1,CHIEF,3,6,8,Mission,"(37.75125254363661, -122.4214474027606)",200991806-B06
200991797,AM110,20042120,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:47:49 PM,04/08/2020 02:52:25 PM,04/08/2020 02:53:13 PM,04/08/2020 02:53:38 PM,04/08/2020 02:59:58 PM,04/08/2020 03:20:05 PM,04/08/2020 03:45:33 PM,Code 2 Transport,04/08/2020 04:04:00 PM,1700 Block of MARKET ST,San Francisco,94103,B02,36,5115,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,2,6,Mission,"(37.77269482368613, -122.42218826142579)",200991797-AM110
200991760,T05,20042117,Alarms,04/08/2020,04/08/2020,04/08/2020 02:36:44 PM,04/08/2020 02:38:27 PM,04/08/2020 02:38:55 PM,04/08/2020 02:40:22 PM,04/08/2020 02:42:54 PM,,,Fire,04/08/2020 02:49:16 PM,2300 Block of BUCHANAN ST,San Francisco,94115,B04,38,3435,3,3,3,true,Alarm,1,TRUCK,3,4,2,Pacific Heights,"(37.79156027939594, -122.43107146432969)",200991760-T05
200991760,E38,20042117,Alarms,04/08/2020,04/08/2020,04/08/2020 02:36:44 PM,04/08/2020 02:38:27 PM,04/08/2020 02:38:55 PM,04/08/2020 02:40:17 PM,04/08/2020 02:41:31 PM,,,Fire,04/08/2020 02:49:16 PM,2300 Block of BUCHANAN ST,San Francisco,94115,B04,38,3435,3,3,3,false,Alarm,1,ENGINE,1,4,2,Pacific Heights,"(37.79156027939594, -122.43107146432969)",200991760-E38
200991760,B04,20042117,Alarms,04/08/2020,04/08/2020,04/08/2020 02:36:44 PM,04/08/2020 02:38:27 PM,04/08/2020 02:38:55 PM,04/08/2020 02:40:25 PM,04/08/2020 02:41:56 PM,,,Fire,04/08/2020 02:49:16 PM,2300 Block of BUCHANAN ST,San Francisco,94115,B04,38,3435,3,3,3,false,Alarm,1,CHIEF,2,4,2,Pacific Heights,"(37.79156027939594, -122.43107146432969)",200991760-B04
200991744,KM12,20042115,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:33:44 PM,04/08/2020 02:35:19 PM,04/08/2020 02:35:45 PM,04/08/2020 02:36:37 PM,04/08/2020 02:38:44 PM,04/08/2020 02:55:53 PM,04/08/2020 03:13:19 PM,Code 2 Transport,04/08/2020 03:45:32 PM,300 Block of 9TH ST,San Francisco,94103,B03,29,2333,3,3,3,false,Non Life-threatening,1,PRIVATE,2,2,6,South of Market,"(37.77281403620031, -122.4103347768421)",200991744-KM12
200991744,E29,20042115,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:33:44 PM,04/08/2020 02:35:19 PM,04/08/2020 02:35:45 PM,04/08/2020 02:35:55 PM,04/08/2020 02:38:13 PM,,,Code 2 Transport,04/08/2020 02:41:37 PM,300 Block of 9TH ST,San Francisco,94103,B03,29,2333,3,3,3,true,Non Life-threatening,1,ENGINE,1,2,6,South of Market,"(37.77281403620031, -122.4103347768421)",200991744-E29
200991729,78,20042114,Other,04/08/2020,04/08/2020,04/08/2020 02:30:59 PM,04/08/2020 02:30:59 PM,04/08/2020 02:31:27 PM,04/08/2020 02:31:36 PM,04/08/2020 03:09:02 PM,,,Patient Declined Transport,04/08/2020 03:12:54 PM,1800 Block of PINE ST,San Francisco,94109,B04,38,3325,A,2,2,true,Non Life-threatening,1,MEDIC,1,4,2,Pacific Heights,"(37.78894503632593, -122.42625226166518)",200991729-78
200991719,QRV2,20042112,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:28:10 PM,04/08/2020 02:28:10 PM,04/08/2020 02:28:52 PM,04/08/2020 02:28:58 PM,04/08/2020 02:30:52 PM,,,Code 2 Transport,04/08/2020 02:40:42 PM,900 Block of MARKET ST,San Francisco,94102,B03,01,1365,B,3,3,true,Potentially Life-Threatening,1,SUPPORT,1,3,6,Tenderloin,"(37.78370693015445, -122.40859511086855)",200991719-QRV2
200991719,KM08,20042112,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:28:10 PM,04/08/2020 02:28:10 PM,04/08/2020 02:28:52 PM,04/08/2020 02:29:29 PM,04/08/2020 02:35:05 PM,04/08/2020 02:44:57 PM,04/08/2020 02:54:41 PM,Code 2 Transport,04/08/2020 03:26:53 PM,900 Block of MARKET ST,San Francisco,94102,B03,01,1365,B,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,3,6,Tenderloin,"(37.78370693015445, -122.40859511086855)",200991719-KM08
200991716,E06,20042111,Outside Fire,04/08/2020,04/08/2020,04/08/2020 02:27:16 PM,04/08/2020 02:27:32 PM,04/08/2020 02:27:43 PM,04/08/2020 02:28:23 PM,04/08/2020 02:30:22 PM,,,Fire,04/08/2020 02:34:41 PM,CHURCH ST/16TH ST,San Francisco,94114,B02,06,5234,3,3,3,true,Fire,1,ENGINE,1,2,8,Castro/Upper Market,"(37.764507614054054, -122.42866513030805)",200991716-E06
200991680,RC3,20042110,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:12:07 PM,04/08/2020 02:14:13 PM,04/08/2020 02:15:58 PM,04/08/2020 02:17:39 PM,,,,Code 2 Transport,04/08/2020 02:20:46 PM,3400 Block of 18TH ST,San Francisco,94110,B02,07,5423,3,E,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,3,2,9,Mission,"(37.76177896843048, -122.4212008556412)",200991680-RC3
200991680,E07,20042110,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:12:07 PM,04/08/2020 02:14:13 PM,04/08/2020 02:15:11 PM,04/08/2020 02:16:00 PM,04/08/2020 02:18:27 PM,,,Code 2 Transport,04/08/2020 02:31:02 PM,3400 Block of 18TH ST,San Francisco,94110,B02,07,5423,3,E,3,true,Potentially Life-Threatening,1,ENGINE,1,2,9,Mission,"(37.76177896843048, -122.4212008556412)",200991680-E07
200991680,58,20042110,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:12:07 PM,04/08/2020 02:14:13 PM,04/08/2020 02:15:11 PM,04/08/2020 02:15:18 PM,04/08/2020 02:21:32 PM,04/08/2020 02:38:20 PM,04/08/2020 02:47:44 PM,Code 2 Transport,04/08/2020 03:39:58 PM,3400 Block of 18TH ST,San Francisco,94110,B02,07,5423,3,E,3,true,Potentially Life-Threatening,1,MEDIC,2,2,9,Mission,"(37.76177896843048, -122.4212008556412)",200991680-58
200991679,E33,20042109,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:13:17 PM,04/08/2020 02:14:12 PM,04/08/2020 02:14:36 PM,04/08/2020 02:15:34 PM,04/08/2020 02:18:44 PM,,,Code 2 Transport,04/08/2020 02:21:04 PM,100 Block of MONETA WAY,San Francisco,94112,B09,33,8347,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,9,11,Outer Mission,"(37.71259708081328, -122.45051046912609)",200991679-E33
200991679,87,20042109,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:13:17 PM,04/08/2020 02:14:12 PM,04/08/2020 02:14:36 PM,04/08/2020 02:14:43 PM,04/08/2020 02:19:12 PM,04/08/2020 02:36:27 PM,04/08/2020 02:52:51 PM,Code 2 Transport,04/08/2020 03:38:32 PM,100 Block of MONETA WAY,San Francisco,94112,B09,33,8347,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,9,11,Outer Mission,"(37.71259708081328, -122.45051046912609)",200991679-87
200991664,E29,20042108,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:05:15 PM,04/08/2020 02:09:00 PM,04/08/2020 02:09:29 PM,04/08/2020 02:10:44 PM,04/08/2020 02:11:59 PM,,,Code 2 Transport,04/08/2020 02:17:06 PM,200 Block of POTRERO AVE,San Francisco,94103,B02,29,2351,2,3,3,true,Potentially Life-Threatening,1,ENGINE,2,2,10,Mission,"(37.766437682861195, -122.4075407325485)",200991664-E29
200991664,61,20042108,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:05:15 PM,04/08/2020 02:09:00 PM,04/08/2020 02:09:29 PM,04/08/2020 02:11:46 PM,04/08/2020 02:11:46 PM,04/08/2020 02:27:19 PM,04/08/2020 02:31:29 PM,Code 2 Transport,04/08/2020 03:03:30 PM,200 Block of POTRERO AVE,San Francisco,94103,B02,29,2351,2,3,3,true,Potentially Life-Threatening,1,MEDIC,1,2,10,Mission,"(37.766437682861195, -122.4075407325485)",200991664-61
200991644,QRV2,20042104,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:03:50 PM,04/08/2020 02:04:29 PM,04/08/2020 02:05:06 PM,04/08/2020 02:05:10 PM,04/08/2020 02:09:04 PM,,,Code 2 Transport,04/08/2020 02:25:33 PM,0 Block of MCALLISTER ST,San Francisco,94102,B03,36,1455,3,3,3,true,Potentially Life-Threatening,1,SUPPORT,1,2,6,Tenderloin,"(37.78111921215415, -122.41259697063744)",200991644-QRV2
200991644,59,20042104,Medical Incident,04/08/2020,04/08/2020,04/08/2020 02:03:50 PM,04/08/2020 02:04:29 PM,04/08/2020 02:05:06 PM,04/08/2020 02:05:52 PM,04/08/2020 02:12:22 PM,04/08/2020 02:32:16 PM,04/08/2020 02:42:30 PM,Code 2 Transport,04/08/2020 03:23:32 PM,0 Block of MCALLISTER ST,San Francisco,94102,B03,36,1455,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,2,6,Tenderloin,"(37.78111921215415, -122.41259697063744)",200991644-59
200991641,T15,20042103,Alarms,04/08/2020,04/08/2020,04/08/2020 02:01:54 PM,04/08/2020 02:03:38 PM,04/08/2020 02:03:54 PM,04/08/2020 02:05:16 PM,04/08/2020 02:08:39 PM,,,Fire,04/08/2020 02:18:14 PM,100 Block of CONCORD ST,San Francisco,94112,B09,43,6221,3,3,3,false,Alarm,1,TRUCK,2,9,11,Excelsior,"(37.71155121410385, -122.44233885611301)",200991641-T15
200991641,E43,20042103,Alarms,04/08/2020,04/08/2020,04/08/2020 02:01:54 PM,04/08/2020 02:03:38 PM,04/08/2020 02:03:54 PM,04/08/2020 02:05:14 PM,04/08/2020 02:07:57 PM,,,Fire,04/08/2020 02:17:49 PM,100 Block of CONCORD ST,San Francisco,94112,B09,43,6221,3,3,3,true,Alarm,1,ENGINE,1,9,11,Excelsior,"(37.71155121410385, -122.44233885611301)",200991641-E43
200991641,B09,20042103,Alarms,04/08/2020,04/08/2020,04/08/2020 02:01:54 PM,04/08/2020 02:03:38 PM,04/08/2020 02:03:54 PM,04/08/2020 02:05:06 PM,04/08/2020 02:10:26 PM,,,Fire,04/08/2020 02:16:46 PM,100 Block of CONCORD ST,San Francisco,94112,B09,43,6221,3,3,3,false,Alarm,1,CHIEF,3,9,11,Excelsior,"(37.71155121410385, -122.44233885611301)",200991641-B09
200991620,E08,20042102,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:57:24 PM,04/08/2020 02:00:02 PM,04/08/2020 02:00:40 PM,04/08/2020 02:02:13 PM,,,,Code 2 Transport,04/08/2020 02:05:34 PM,500 Block of 5TH ST,San Francisco,94107,B03,08,2242,3,3,3,true,Non Life-threatening,1,ENGINE,2,3,6,South of Market,"(37.77762423892872, -122.39998111124002)",200991620-E08
200991620,67,20042102,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:57:24 PM,04/08/2020 02:00:02 PM,04/08/2020 02:00:40 PM,04/08/2020 02:00:45 PM,04/08/2020 02:03:42 PM,04/08/2020 02:28:49 PM,04/08/2020 02:44:37 PM,Code 2 Transport,04/08/2020 03:13:02 PM,500 Block of 5TH ST,San Francisco,94107,B03,08,2242,3,3,3,true,Non Life-threatening,1,MEDIC,1,3,6,South of Market,"(37.77762423892872, -122.39998111124002)",200991620-67
200991610,RC5,20042101,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:53:36 PM,04/08/2020 01:56:33 PM,04/08/2020 02:33:42 PM,04/08/2020 02:33:42 PM,04/08/2020 02:49:45 PM,,,Code 3 Transport,04/08/2020 03:11:01 PM,0 Block of CODMAN PL,San Francisco,94108,B01,02,1415,3,3,3,true,Non Life-threatening,1,RESCUE CAPTAIN,3,1,3,Nob Hill,"(37.79423970952742, -122.41005529592498)",200991610-RC5
200991610,E02,20042101,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:53:36 PM,04/08/2020 01:56:33 PM,04/08/2020 01:56:55 PM,04/08/2020 01:58:40 PM,04/08/2020 02:01:24 PM,,,Code 3 Transport,04/08/2020 02:55:20 PM,0 Block of CODMAN PL,San Francisco,94108,B01,02,1415,3,3,3,true,Non Life-threatening,1,ENGINE,1,1,3,Nob Hill,"(37.79423970952742, -122.41005529592498)",200991610-E02
200991610,76,20042101,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:53:36 PM,04/08/2020 01:56:33 PM,04/08/2020 01:56:55 PM,04/08/2020 01:57:12 PM,04/08/2020 02:03:07 PM,04/08/2020 02:27:18 PM,04/08/2020 02:37:35 PM,Code 3 Transport,04/08/2020 03:03:31 PM,0 Block of CODMAN PL,San Francisco,94108,B01,02,1415,3,3,3,true,Non Life-threatening,1,MEDIC,2,1,3,Nob Hill,"(37.79423970952742, -122.41005529592498)",200991610-76
200991595,E28,20042099,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:52:38 PM,04/08/2020 01:52:38 PM,04/08/2020 01:53:09 PM,04/08/2020 01:54:33 PM,04/08/2020 01:55:30 PM,,,No Merit,04/08/2020 02:02:39 PM,UNION ST/COLUMBUS AV,San Francisco,94133,B01,28,1334,B,3,3,true,Potentially Life-Threatening,1,ENGINE,1,1,3,North Beach,"(37.80031549844293, -122.41020654389307)",200991595-E28
200991595,50,20042099,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:52:38 PM,04/08/2020 01:52:38 PM,04/08/2020 01:53:09 PM,04/08/2020 01:53:25 PM,04/08/2020 01:59:47 PM,,,No Merit,04/08/2020 02:06:42 PM,UNION ST/COLUMBUS AV,San Francisco,94133,B01,28,1334,B,3,3,true,Potentially Life-Threatening,1,MEDIC,2,1,3,North Beach,"(37.80031549844293, -122.41020654389307)",200991595-50
200991591,56,20042098,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:50:52 PM,04/08/2020 01:50:52 PM,04/08/2020 01:53:41 PM,04/08/2020 01:54:07 PM,04/08/2020 02:06:11 PM,,,Patient Declined Transport,04/08/2020 02:58:29 PM,1700 Block of SILLIMAN ST,San Francisco,94134,B09,43,6153,A,2,2,true,Non Life-threatening,1,MEDIC,1,9,9,Excelsior,"(37.72667375804514, -122.42232487848068)",200991591-56
200991588,AM104,20042097,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:47:43 PM,04/08/2020 01:50:48 PM,04/08/2020 01:51:06 PM,04/08/2020 01:51:41 PM,,,,Cancelled,04/08/2020 02:08:47 PM,1200 Block of SUNNYDALE AVE,San Francisco,94134,B09,44,6241,2,2,2,false,Non Life-threatening,1,PRIVATE,1,9,10,Visitacion Valley,"(37.71129384821521, -122.41400713084195)",200991588-AM104
200991580,KM14,20042096,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:46:00 PM,04/08/2020 01:48:35 PM,04/08/2020 01:49:56 PM,04/08/2020 01:50:24 PM,04/08/2020 01:59:56 PM,,,Unable to Locate,04/08/2020 02:05:20 PM,0 Block of 7TH ST,San Francisco,94103,B02,01,2315,2,2,2,false,Non Life-threatening,1,PRIVATE,1,2,6,South of Market,"(37.77957001158884, -122.41148401591776)",200991580-KM14
200991578,KM13,20042095,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:44:54 PM,04/08/2020 01:47:56 PM,04/08/2020 01:48:57 PM,04/08/2020 01:49:40 PM,04/08/2020 02:05:27 PM,04/08/2020 02:39:13 PM,04/08/2020 02:58:18 PM,Code 2 Transport,04/08/2020 03:31:34 PM,300 Block of 3RD ST,San Francisco,94107,B03,01,2176,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,3,6,South of Market,"(37.783352660262445, -122.39848567531207)",200991578-KM13
200991566,73,20042094,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:42:58 PM,04/08/2020 01:44:18 PM,04/08/2020 01:44:47 PM,04/08/2020 01:44:56 PM,04/08/2020 02:02:46 PM,04/08/2020 02:11:34 PM,04/08/2020 02:24:46 PM,Code 2 Transport,04/08/2020 03:05:08 PM,1500 Block of SUNNYDALE AVE,San Francisco,94134,B09,44,6241,2,2,2,true,Non Life-threatening,1,MEDIC,1,9,10,Visitacion Valley,"(37.71214950882262, -122.41714122572772)",200991566-73
200991562,E41,20042093,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:42:55 PM,04/08/2020 01:43:33 PM,04/08/2020 01:43:53 PM,04/08/2020 01:44:40 PM,04/08/2020 01:46:30 PM,,,Code 2 Transport,04/08/2020 02:00:17 PM,1300 Block of PINE ST,San Francisco,94109,B04,41,1562,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,4,3,Nob Hill,"(37.78988335136743, -122.41801242278349)",200991562-E41
200991562,63,20042093,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:42:55 PM,04/08/2020 01:43:33 PM,04/08/2020 01:43:53 PM,04/08/2020 01:44:02 PM,04/08/2020 01:46:40 PM,04/08/2020 02:09:43 PM,04/08/2020 02:19:50 PM,Code 2 Transport,04/08/2020 02:55:20 PM,1300 Block of PINE ST,San Francisco,94109,B04,41,1562,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,4,3,Nob Hill,"(37.78988335136743, -122.41801242278349)",200991562-63
200991549,E44,20042092,Medical Incident,04/08/2020,04/08/2020,04/08/2020 01:40:21 PM,04/08/2020 01:40:57 PM,04/08/2020 01:41:18 PM,04/08/2020 01:42:15 PM,04/08/2020 01:44:02 PM,,,Code 3 Transport,04/08/2020 01:59:26 PM,0 Block of ALDER ST,San Francisco,94134,B10,44,6315,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,10,10,Visitacion Valley,"(37.718694691323456, -122.40513403427927)",200991549-E44
